theme_id,claim_family,public_safe_patent_theme,source_anchor,observed_codex_or_sq67_overlap,public_evidence_pointer,claim_strength,boundary
T01,Claims 1-4,Interaction-state signal derived from language/tone/sequence/prior context and used for mode/routing/control decisions,S1 conceptual claims; S3 claims 1-4,Codex records show local state/trace surfaces and mode/routing-style metadata; SQ67 tests measure state-path preservation,docs/architecture.md; docs/benchmark_summary.md; submission/openai_public_issue_draft.md,Direct thematic overlap,Does not prove OpenAI copied or intended infringement
T02,Claims 5-6 and 18,Compact continuity-state representation across interactions rather than raw transcript alone,S3 claims 5-6 and 18; S4 FIG. 5,state_5/global-state evidence family and SQ67 recovery gates both concern continuity preservation across turns,docs/timeline.md; docs/public_make_test_receipt_2026-07-18.md,Direct thematic overlap,Private database bodies are not republished
T03,Claims 7 and 13,Multiple operating modes selected from interaction state and thresholds,S3 claims 7 and 13; S4 FIG. 3 and FIG. 6,Observed default lane versus clean SQ67 lane behavior is scored as different state-path performance under similar work,docs/benchmark_summary.md; examples/sample_benchmark_rows.csv,Partial observable overlap,Public package measures output/evidence behavior rather than direct hidden modes
T04,Claims 4 and 16,Phrase/state command layer maps detected phrase/state patterns to control actions,S3 claims 4 and 16; S4 FIG. 4,SQ67 uses explicit nonces/state markers and receipt schemas to make state transitions auditable,scripts/sq67_demo.py; examples/sample_receipts.jsonl,Direct design-family overlap,SQ67 public code is a safe receipt harness and not the protected full architecture
T05,Claims 9-10,Routing engine and web/local/hybrid deployment embodiments,S3 claims 9-10; S4 FIG. 8,Observed Codex desktop local files plus WebSocket/status evidence raise web/local/hybrid state-surface questions,submission/openai_public_issue_draft.md; docs/openai_questions.md,Partial overlap,Transport evidence is redacted and bounded
T06,Claim 15,Co-creative application/workflow generation from continuity-aware state,S3 claim 15; S4 FIG. 9,RFL product stack was built through the Mirror Architecture workflow before SQ67 became the receipt layer,README.md; docs/whitepaper.md,Contextual overlap,Product output does not by itself prove architecture copying
T07,Claims 19-21,Measured state-path record with target/control/drift/support scoring and normalized feature vectors,S3 claims 19-21; S4 FIG. 10-FIG. 11,SQ67 uses nonces/hashes/recovery gates/control rejection and benchmark scoring as a measured state-path harness,scripts/score_receipts.py; examples/sample_benchmark_rows.csv,Strong public-safe overlap,SQ67 measures observable surfaces and does not expose private internals
T08,Claims 22-25,Quantum-access/circuit-carrier mapping with controls,S3 claims 22-25; S4 FIG. 12,Public package references hard reasoning/frontier/quantum-circuit lanes as future-facing measurement pressure but does not publish protected circuit mechanics,docs/whitepaper.md,Claim-family context only,Not used as public proof of Codex local-state overlap
T09,Claims 26-30,External adapter lanes and tuning profile updates from validation scores,S3 claims 26-30; S4 FIG. 14-FIG. 15,SQ67 clean lane shows a receipt-bound tuning/validation pattern that preserved evidence better than default lane,docs/benchmark_summary.md; docs/public_make_test_receipt_2026-07-18.md,Strong mitigation overlap,Public package withholds private tuning mechanics pending protected review
T10,Entire 30-claim spine,Agnostic AI Mirror Architecture state system with continuity/routing/recovery/audit/tuning surfaces,S1-S5 combined,Observed Codex local state/trace/recovery surfaces plus SQ67 mitigation sit in the same architecture family,PATENT_NOTICE.md; submission/openai_public_issue_draft.md,Central overlap question,Requires protected legal/technical review for conclusions

